title	artist	genre	path	tempo	key
Swervin (feat. 6ix9ine)	A Boogie wit Da Hoodie	Hip Hop/Rap	/Volumes/Seagate/Music/A Boogie wit Da Hoodie/Hoodie SZN/04 Swervin (feat. 6ix9ine).mp3	93.0	A Maj
Look Back At It	A Boogie wit Da Hoodie	Hip Hop/Rap	/Volumes/Seagate/Music/A Boogie wit Da Hoodie/Hoodie SZN/11 Look Back At It.mp3	96.0	D# min
Ransom	A Boogie wit Da Hoodie	Hip Hop/Rap	/Volumes/Seagate/Music/A Boogie wit Da Hoodie/TBA/01 Ransom.mp3	127.0	A# min
Drowning (feat. Kodak Black)	A Boogie wit Da Hoodie	Hip Hop/Rap	/Volumes/Seagate/Music/A Boogie wit Da Hoodie/The Bigger Artist/03 Drowning (feat. Kodak Black).mp3	129.0	F min
Say A'	A Boogie wit Da Hoodie	Hip Hop/Rap	/Volumes/Seagate/Music/A Boogie wit Da Hoodie/The Bigger Artist/04 Say A'.mp3	161.0	F Maj
I Ran (So Far Away)	A Flock of Seagulls	Pop	/Volumes/Seagate/Music/A Flock of Seagulls/A Flock of Seagulls/01 I Ran (So Far Away).mp3	146.0	D Maj
Around the World (La La La La La)	A Touch of Class	Electronic	/Volumes/Seagate/Music/A Touch of Class/Around the World (La La La La La)/01 Around the World (La La La La La).mp3	NA	NA
Shanghai	A$AP ANT	Hip Hop/Rap	/Volumes/Seagate/Music/A$AP ANT/Shanghai/01 Shanghai.mp3	125.0	D min
Praise The Lord (Da Shine) (feat. Skepta)	A$AP Rocky	Hip Hop/Rap	/Volumes/Seagate/Music/A$AP Rocky/Praise The Lord (Da Shine)/01 Praise The Lord (Da Shine) (feat. Skepta).mp3	80.0	F min
Sundress	A$AP Rocky	Hip Hop/Rap	/Volumes/Seagate/Music/A$AP Rocky/Sundress/01 Sundress.mp3	125.0	F# Maj
Faster	A.OontheBeat	Trance	/Volumes/Seagate/Music/A.OontheBeat/Faster/01 Faster.mp3	145.0	E min
Shut It Down	A2thak	Hip Hop/Rap	/Volumes/Seagate/Music/A2thak/Still Dreamin'/05 Shut It Down.mp3	98.0	D Maj
Hells Bells	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/01 Hells Bells.mp3	107.0	E min
Shoot to Thrill	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/02 Shoot to Thrill.mp3	141.0	D Maj
What Do You Do For Money Honey	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/03 What Do You Do For Money Honey.mp3	126.0	A Maj
Givin the Dog a Bone	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/04 Givin the Dog a Bone.mp3	133.0	D Maj
Let Me Put My Love Into You	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/05 Let Me Put My Love Into You.mp3	NA	NA
Back In Black	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/06 Back In Black.mp3	188.0	A Maj
You Shook Me All Night Long	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/07 You Shook Me All Night Long.mp3	127.0	G Maj
Have a Drink on Me	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/08 Have a Drink on Me.mp3	122.0	D Maj
Shake a Leg	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/09 Shake a Leg.mp3	152.0	E Maj
Rock and Roll Ain't Noise Pollution	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/Back in Black/10 Rock and Roll Ain't Noise Pollution.mp3	95.0	A Maj
Thunderstruck	AC/DC	Rock	/Volumes/Seagate/Music/AC_DC/The Razors Edge/01 Thunderstruck.mp3	134.0	E Maj
Relax My Eyes	ANOTR	Dance	/Volumes/Seagate/Music/ANOTR/The Reset/11 Relax My Eyes.mp3	132.0	A# min
Lay All Your Love On Me	Abba	Pop	/Volumes/Seagate/Music/Abba/Gold/05 Lay All Your Love On Me.mp3	133.0	C Maj
Gimme! Gimme! Gimme! (A Man After Midnight)	Abba	Pop	/Volumes/Seagate/Music/Abba/Voulez-Vouz/13 Gimme! Gimme! Gimme! (A Man After Midnight).mp3	NA	NA
Dissolve	Absofacto	Alternative	/Volumes/Seagate/Music/Absofacto/Thousand Peaces/01 Dissolve.mp3	85.0	F# min
Don't Turn Around	Ace of Base	Dance	/Volumes/Seagate/Music/Ace of Base/The Sign/02 Don't Turn Around.mp3	96.0	E min
Living in Danger	Ace of Base	Dance	/Volumes/Seagate/Music/Ace of Base/The Sign/05 Living in Danger.mp3	102.0	B min
Dancer in a Daydream	Ace of Base	Dance	/Volumes/Seagate/Music/Ace of Base/The Sign/06 Dancer in a Daydream.mp3	97.0	E min
Wheel of Fortune	Ace of Base	Dance	/Volumes/Seagate/Music/Ace of Base/The Sign/07 Wheel of Fortune.mp3	NA	NA
Happy Nation	Ace of Base	Dance	/Volumes/Seagate/Music/Ace of Base/The Sign/09 Happy Nation.mp3	96.0	C# Maj
Voulez-Vous danser	Ace of Base	Dance	/Volumes/Seagate/Music/Ace of Base/The Sign/10 Voulez-Vous danser.mp3	129.0	E min
My Mind (Mindless Mix)	Ace of Base	Dance	/Volumes/Seagate/Music/Ace of Base/The Sign/11 My Mind (Mindless Mix).mp3	123.0	C# min
Circles (Oppidan Bootleg)	Adam F	House	/Volumes/Seagate/Music/Adam F/Circles (Oppidan Bootleg)/01 Circles (Oppidan Bootleg).mp3	165.0	A min
Sunbeams	Adrian	Trance	/Volumes/Seagate/Music/Adrian/Sunbeams/01 Sunbeams.mp3	128.0	B min
Dream On	Aerosmith	Rock	/Volumes/Seagate/Music/Aerosmith/Aerosmith/03 Dream On.mp3	161.0	C# Maj
Too Close	Alex Clare	Pop	/Volumes/Seagate/Music/Alex Clare/The Lateness Of The Hour/04 Too Close.mp3	126.0	B min
Mine	Alex Sloane	House	/Volumes/Seagate/Music/Alex Sloane/Dear Diary/02 Mine.mp3	190.0	E Maj
Mr. Saxobeat	Alexandra Stan	Pop	/Volumes/Seagate/Music/Alexandra Stan/Mr. Saxobeat/01 Mr. Saxobeat.mp3	127.0	B min
Better Off Alone (feat. DJ Jurgen)	Alice DeeJay	Electronic	/Volumes/Seagate/Music/Alice DeeJay/Who Needs Guitars Anyway_/02 Better Off Alone (feat. DJ Jurgen).mp3	137.0	G# min
The Man	Aloe Blacc	Pop	/Volumes/Seagate/Music/Aloe Blacc/Lift Your Spirit/01 The Man.mp3	82.0	B min
You Know You Like It	AlunaGeorge, DJ Snake	Dance	/Volumes/Seagate/Music/AlunaGeorge/Body Music/02 You Know You Like It.mp3	196.0	F min
Kratos (A Little Closer)	Alxboiiz	Dance	/Volumes/Seagate/Music/Alxboiiz/Kratos (A Little Closer)/01 Kratos (A Little Closer).mp3	109.0	F Maj
Pyramid	Alyss	House	/Volumes/Seagate/Music/Alyss/Alchemy/02 Pyramid.mp3	122.0	E Maj
SAD GIRLZ LUV MONEY [Remix] (feat. Kali Uchis)	Amaarae	Pop	/Volumes/Seagate/Music/Amaarae/SAD GIRLZ LUV MONEY (Remix)/01 SAD GIRLZ LUV MONEY [Remix] (feat. Kali Uchis).mp3	NA	NA
Keep Your Head Up	Andy Grammer	Pop	/Volumes/Seagate/Music/Andy Grammer/Andy Grammer/01 Keep Your Head Up.mp3	90.0	C Maj
Sleigh Ride	Anomalie	Holiday	/Volumes/Seagate/Music/Anomalie/Holidays/01 Sleigh Ride.mp3	85.0	C Maj
Have Yourself a Merry Litte Christmas	Anomalie	Holiday	/Volumes/Seagate/Music/Anomalie/Holidays/02 Have Yourself a Merry Litte Christmas.mp3	NA	NA
Santa Claus is Coming to Town	Anomalie		/Volumes/Seagate/Music/Anomalie/Holidays/03 Santa Claus is Coming to Town.mp3	140.0	C Maj
Dance of the Sugar Plum Fairy	Anomalie	Holiday	/Volumes/Seagate/Music/Anomalie/Holidays/04 Dance of the Sugar Plum Fairy.mp3	NA	NA
Silent Night	Anomalie	Holiday	/Volumes/Seagate/Music/Anomalie/Holidays/05 Silent Night.mp3	148.0	C min
The First Noel	Anomalie	Holiday	/Volumes/Seagate/Music/Anomalie/Holidays/06 The First Noel.mp3	91.0	A min
QKThr	Aphex Twin	Trance	/Volumes/Seagate/Music/Aphex Twin/Drukqs/19 QKThr.mp3	79.0	C# Maj
I Wanna Be Yours	Arctic Monkeys	Alternative	/Volumes/Seagate/Music/Arctic Monkeys/AM/12 I Wanna Be Yours.mp3	68.0	C min
505	Arctic Monkeys	Alternative	/Volumes/Seagate/Music/Arctic Monkeys/Favourite Worst Nightmare/12 505.mp3	140.0	C Maj
Mardy Bum	Arctic Monkeys	Alternative	/Volumes/Seagate/Music/Arctic Monkeys/Whatever People Say I Am, That's What I'm Not/09 Mardy Bum.mp3	112.0	D Maj
Into You	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/Dangerous Woman/04 Into You.mp3	108.0	A Maj
Last Christmas	Ariana Grande	Holiday	/Volumes/Seagate/Music/Ariana Grande/Last Christmas/01 Last Christmas.mp3	103.0	D Maj
One Last Time	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/My Everything/03 One Last Time.mp3	125.0	G# Maj
Break Free (feat. Zedd)	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/My Everything/05 Break Free (feat. Zedd).mp3	130.0	G min
Love Me Harder (with the Weeknd)	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/My Everything/09 Love Me Harder (with the Weeknd).mp3	99.0	C# min
Santa Tell Me	Ariana Grande	Holiday	/Volumes/Seagate/Music/Ariana Grande/Santa Tell Me/01 Santa Tell Me.mp3	192.0	G Maj
breathin	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/Sweetener/09 breathin.mp3	100.0	G# Maj
The Way (feat. Mac Miller)	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/Yours Truly/08 The Way (feat. Mac Miller).mp3	82.0	F min
7 rings	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/thank u, next/10 7 rings.mp3	140.0	C# min
thank u, next	Ariana Grande	Pop	/Volumes/Seagate/Music/Ariana Grande/thank u, next/11 thank u, next.mp3	107.0	C# Maj
boyfriend	Ariana Grande, Social House	Pop	/Volumes/Seagate/Music/Ariana Grande, Social House/boyfriend/01 boyfriend.mp3	190.0	A# min
24	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/24/01 24.mp3	148.0	C Maj
BAND$	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/BAND$/01 BAND$.mp3	150.0	G# Maj
Bad Luck (feat. Woody Pond)	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Bad Luck/01 Bad Luck (feat. Woody Pond).mp3	NA	NA
C U L8R	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/C U L8R/01 C U L8R.mp3	87.0	A# min
Drain Me	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Drain Me/01 Drain Me.mp3	159.0	A# Maj
Drinking Problem (feat. 27CLUB)	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Drinking Problem/01 Drinking Problem (feat. 27CLUB).mp3	76.0	D Maj
Homies	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Homies/01 Homies.mp3	140.0	C# Maj
LM$	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/LM$/01 LM$.mp3	130.0	G# min
Living Facts	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Living Facts/01 Living Facts.mp3	77.0	F Maj
FML	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Living Facts/02 FML.mp3	100.0	F Maj
When I Die	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Living Facts/03 When I Die.mp3	157.0	B min
No I In Team	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/No I In Team/01 No I In Team.mp3	140.0	C# min
Race	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Race/01 Race.mp3	150.0	G# Maj
Roxanne	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Roxanne/01 Roxanne.mp3	117.0	F# min
Zone (feat. John Wolf)	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Singles/24 Zone (feat. John Wolf).mp3	140.0	D Maj
Shit You Love	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Singles/27 Shit You Love.mp3	159.0	A# Maj
Parted Ways (feat. Arye)	Arizona Zervas	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas/Singles/30 Parted Ways (feat. Arye).mp3	150.0	G# Maj
Roxanne (Remix)	Arizona Zervas, Swae Lee	Hip Hop/Rap	/Volumes/Seagate/Music/Arizona Zervas, Swae Lee/Roxanne (Remix)/01 Roxanne (Remix).mp3	175.0	A Maj
Let Go (feat. Veronika Redd)	Ark Patrol	Trance	/Volumes/Seagate/Music/Ark Patrol/Let Go/01 Let Go (feat. Veronika Redd).mp3	82.0	C Maj
Flowers (Say My Name) (feat. Lil Tecca) [Remix]	ArrDee	Hip Hop/Rap	/Volumes/Seagate/Music/ArrDee/Flowers (Say My Name) (Remix)/01 Flowers (Say My Name) (feat. Lil Tecca) [Remix].mp3	143.0	F Maj
IRIS	Ashes To Amber	Alternative	/Volumes/Seagate/Music/Ashes To Amber/Voodoo Blu/02 IRIS.mp3	72.0	C Maj
Freak Like That	Austin George	Pop	/Volumes/Seagate/Music/Austin George/Freak Like That/01 Freak Like That.mp3	80.0	F# min
Hands On You	Austin George	Pop	/Volumes/Seagate/Music/Austin George/Hands On You/01 Hands On You.mp3	160.0	B min
One Way	Autumn!	Hip Hop/Rap	/Volumes/Seagate/Music/Autumn!/One Way/01 One Way.mp3	138.0	C Maj
Sweet but Psycho	Ava Max	Electronic	/Volumes/Seagate/Music/Ava Max/Sweet but Psycho/01 Sweet but Psycho.mp3	133.0	C# Maj
Levels	Avicii	Electronic	/Volumes/Seagate/Music/Avicii/Levels/01 Levels.mp3	126.0	C# min
Silhouettes (Black Traffic's Hard Dub Remix)	Avicii	Electronic	/Volumes/Seagate/Music/Avicii/Silhouettes (Black Traffic's Hard Dub Remix)/01 Silhouettes (Black Traffic's Hard Dub Remix).mp3	NA	NA
The Days	Avicii	Dance	/Volumes/Seagate/Music/Avicii/The Days _ Nights EP/01 The Days.mp3	126.0	F# Maj
The Nights	Avicii	Dance	/Volumes/Seagate/Music/Avicii/The Days _ Nights EP/02 The Nights.mp3	126.0	F# Maj
Wake Me Up (feat. Aloe Blacc)	Avicii	Electronic	/Volumes/Seagate/Music/Avicii/True/01 Wake Me Up (feat. Aloe Blacc).mp3	124.0	D Maj
Complicated	Avril Lavigne	Pop	/Volumes/Seagate/Music/Avril Lavigne/Let Go/02 Complicated.mp3	78.0	F Maj
Vacation Bible School	Ayesha Erotica	Pop	/Volumes/Seagate/Music/Ayesha Erotica/Tasty Erotica/02 Vacation Bible School.mp3	130.0	G min
Rolex	Ayo & Teo	Hip Hop/Rap	/Volumes/Seagate/Music/Ayo & Teo/Rolex/01 Rolex.mp3	145.0	C# Maj
Luxury	Azealia Banks	Hip Hop/Rap	/Volumes/Seagate/Music/Azealia Banks/Broke With Expensive Taste/13 Luxury.mp3	122.0	G# Maj
Nothin' On You (feat. Bruno Mars)	B.O.B	Pop	/Volumes/Seagate/Music/B.O.B/Nothin' On You/01 Nothin' On You (feat. Bruno Mars).mp3	104.0	A# Maj
Magic (feat. Rivers Cuomo)	B.o.B	Pop	/Volumes/Seagate/Music/B.o.B/B.o.B Presents_ The Adventures of Bobby Ray/08 Magic (feat. Rivers Cuomo).mp3	82.0	G# min
All In My Head	BKAYE	House	/Volumes/Seagate/Music/BKAYE/All In My Head/01 All In My Head.mp3	130.0	F min
MooN	BWHITE5200	Hip Hop/Rap	/Volumes/Seagate/Music/BWHITE5200/MooN/01 MooN.mp3	101.0	B min
Stats	Baby Keem	Hip Hop/Rap	/Volumes/Seagate/Music/Baby Keem/Die for My Bitch/01 Stats.mp3	152.0	C# Maj
Honest	Baby Keem	Hip Hop/Rap	/Volumes/Seagate/Music/Baby Keem/Die for My Bitch/02 Honest.mp3	79.0	D Maj
Orange Soda	Baby Keem	Hip Hop/Rap	/Volumes/Seagate/Music/Baby Keem/Die for My Bitch/12 Orange Soda.mp3	85.0	C# Maj
Locked In	Baby Keem	Hip Hop/Rap	/Volumes/Seagate/Music/Baby Keem/Hearts and Darts/02 Locked In.mp3	76.0	G Maj
first order of business	Baby Keem	Hip Hop/Rap	/Volumes/Seagate/Music/Baby Keem/The Melodic Blue/14 first order of business.mp3	132.0	F# min
16	Baby Keem	Hip Hop/Rap	/Volumes/Seagate/Music/Baby Keem/The Melodic Blue/16 16.mp3	94.0	C# Maj
killstreaks (feat. Don Toliver, PinkPantheress)	Baby Keem	Hip Hop/Rap	/Volumes/Seagate/Music/Baby Keem/The Melodic Blue/21 killstreaks (feat. Don Toliver, PinkPantheress).mp3	108.0	E min
Everybody (Backstreet's Back) (Radio Edit)	Backstreet Boys	Pop	/Volumes/Seagate/Music/Backstreet Boys/Backstreet's Back/01 Everybody (Backstreet's Back) (Radio Edit).mp3	NA	NA
MÍA (feat. Drake)	Bad Bunny	Hip Hop/Rap	/Volumes/Seagate/Music/Bad Bunny/X 100PRE/MÍA (feat. Drake).mp3	97.0	F# min
Shooting Stars	Bag Raiders	Alternative	/Volumes/Seagate/Music/Bag Raiders/Bag Raiders/03 Shooting Stars.mp3	125.0	B Maj
Hell N Back	Bakar	Hip Hop/Rap	/Volumes/Seagate/Music/Bakar/Will You Be My Yellow_/02 Hell N Back.mp3	105.0	A# min
Baianá	Bakermat	Dance	/Volumes/Seagate/Music/Bakermat/The Ringmaster/04 Baianá.mp3	122.0	D min
Do They Know It's Christmas?	Band Aid	Holiday	/Volumes/Seagate/Music/Band Aid/Do They Know It's Christmas_/01 Do They Know It's Christmas_.mp3	118.0	C Maj
Flights	BandoPop, Lil Baby	Hip Hop/Rap	/Volumes/Seagate/Music/BandoPop, Lil Baby/Flights/01 Flights.mp3	NA	NA
Cabo	Bankrol Hayden	Hip Hop/Rap	/Volumes/Seagate/Music/Bankrol Hayden/Cabo/01 Cabo.mp3	105.0	F# min
Costa Rica	Bankrol Hayden	Hip Hop/Rap	/Volumes/Seagate/Music/Bankrol Hayden/Costa Rica/01 Costa Rica.mp3	128.0	B min
Costa Rica (feat. The Kid LAROI) [Remix]	Bankrol Hayden	Hip Hop/Rap	/Volumes/Seagate/Music/Bankrol Hayden/Costa Rica (Remix)/01 Costa Rica (feat. The Kid LAROI) [Remix].mp3	128.0	A Maj
Admire Her	Bas	Hip Hop/Rap	/Volumes/Seagate/Music/Bas/Pick Me Up/02 Admire Her.mp3	138.0	C# min
Pompeii	Bastille	Pop	/Volumes/Seagate/Music/Bastille/Bad Blood/01 Pompeii.mp3	127.0	A Maj
Good Grief	Bastille	Pop	/Volumes/Seagate/Music/Bastille/Wild World/01 Good Grief.mp3	120.0	C# Maj
Mine	Bazzi	Pop	/Volumes/Seagate/Music/Bazzi/Cosmic/14 Mine.mp3	143.0	E Maj
Space Song	Beach House	Alternative	/Volumes/Seagate/Music/Beach House/Depression Cherry/03 Space Song.mp3	147.0	C min
Silver Soul	Beach House	Alternative	/Volumes/Seagate/Music/Beach House/Teen Dream/02 Silver Soul.mp3	135.0	D Maj
Meant To Be (feat. Florida Georgia Line)	Bebe Rexha	Pop	/Volumes/Seagate/Music/Bebe Rexha/All Your Fault_ Pt. 2/06 Meant To Be (feat. Florida Georgia Line).mp3	154.0	A# Maj
Loser	Beck	Alternative	/Volumes/Seagate/Music/Beck/Mellow Gold/Loser.mp3	171.0	F# min
Lose Control	Meduza, Becky Hill, Goodboys	Dance	/Volumes/Seagate/Music/Becky Hill/Get To Know/02 Lose Control.mp3	124.0	A# min
Lose Control (Extended Mix)	Meduza, Becky Hill, Goodboys	Dance	/Volumes/Seagate/Music/Becky Hill/Get To Know/Lose Control (Extended Mix).mp3	124.0	A# min
More Than A Woman	Bee Gees	Pop	/Volumes/Seagate/Music/Bee Gees/Saturday Night Fever/04 More Than A Woman.mp3	106.0	G Maj
You Should Be Dancing	Bee Gees	Pop	/Volumes/Seagate/Music/Bee Gees/Saturday Night Fever/13 You Should Be Dancing.mp3	123.0	C Maj
Samba de Janeiro	Bellini	World	/Volumes/Seagate/Music/Bellini/Samba de Janeiro/01 Samba de Janeiro.mp3	133.0	D Maj
What I Might Do (Karma Kid Remix)	Ben Pearce	Electronic	/Volumes/Seagate/Music/Ben Pearce/What I Might Do (Karma Kid Remix)/01 What I Might Do (Karma Kid Remix).mp3	NA	NA
